NO_PARC;FEUILLE;COMMUNE
113;FL;PARIS 16 (75016)
40;AM;PARIS 17 (75017)
506;AB;FONTAINES SUR SAONE (69270)
30;T;BOULOGNE BILLANCOURT (92100)
75;BH;PARIS 06 (75006)
131;AH;BANDOL (83150)
30;AS;PARIS 06 (75006)
34;BU;PARIS 13 (75013)
18;AJ;PARIS 07 (75007)
21;EC;PARIS 20 (75020)
142;AI;SAINT CLOUD (92210)
84;AU;PARIS 18 (75018)
55;AM;PARIS 14 (75014)
62;BE;PARIS 17 (75017)
610;BT;ANGLET (64600)
7;AS;PARIS 17 (75017)
96;AN;PARIS 11 (75011)
34;BI;PARIS 10 (75010)
198;CN;NANTERRE (92000)
109;AJ;NEUILLY SUR SEINE (92200)
3;CE;PARIS 20 (75020)
